weather,road_condition,traffic_level,visibility,time_of_day,speed_kmh,road_type,lighting,num_vehicles,risk_score,risk_level
Snow,Potholes / Damaged,Low,Poor (100-500m),Afternoon,53,Rural Single Lane,Dark / No Lights,34,97,HIGH
Snow,Under Construction,Congested,Very Poor (<100m),Dawn,50,Rural Single Lane,Dimly Lit,26,80.3,HIGH
Rainy,Dry,Congested,Good (>1km),Afternoon,25,Ghat / Mountain,Well Lit Street,27,68.8,MEDIUM
Overcast,Potholes / Damaged,Heavy,Poor (100-500m),Morning Rush,64,Highway,Dimly Lit,23,66.2,MEDIUM
Foggy,Potholes / Damaged,Low,Moderate (500m-1km),Evening Rush,34,Highway,Dark / No Lights,8,77.6,HIGH
Foggy,Under Construction,Congested,Poor (100-500m),Dawn,65,Residential,Well Lit Street,13,80.0,HIGH
Clear,Dry,Congested,Poor (100-500m),Afternoon,34,Residential,Dimly Lit,29,49.2,MEDIUM
Clear,Icy,Congested,Moderate (500m-1km),Evening Rush,47,Ghat / Mountain,Daylight,34,81.3,HIGH
Snow,Wet,Heavy,Poor (100-500m),Late Night,43,Ghat / Mountain,Dimly Lit,13,97,HIGH
Foggy,Potholes / Damaged,Congested,Moderate (500m-1km),Late Night,100,Residential,Daylight,6,97,HIGH
Snow,Wet,Heavy,Very Poor (<100m),Morning Rush,48,Highway,Daylight,10,96.8,HIGH
Overcast,Wet,Congested,Good (>1km),Late Night,30,Rural Single Lane,Dark / No Lights,34,81.7,HIGH
Overcast,Potholes / Damaged,Heavy,Moderate (500m-1km),Late Night,63,Ghat / Mountain,Daylight,1,75.7,HIGH
Rainy,Icy,Low,Moderate (500m-1km),Dawn,60,Ghat / Mountain,Well Lit Street,19,82.2,HIGH
Overcast,Potholes / Damaged,Moderate,Poor (100-500m),Morning Rush,83,Urban Arterial,Well Lit Street,30,48.3,MEDIUM
Overcast,Wet,Heavy,Moderate (500m-1km),Dawn,92,Rural Single Lane,Well Lit Street,27,69.1,MEDIUM
Foggy,Dry,Low,Very Poor (<100m),Morning Rush,68,Ghat / Mountain,Dark / No Lights,21,97,HIGH
Snow,Wet,Low,Very Poor (<100m),Dawn,38,Rural Single Lane,Dimly Lit,23,81.8,HIGH
Foggy,Wet,Congested,Poor (100-500m),Late Night,80,Ghat / Mountain,Daylight,26,97,HIGH
Clear,Wet,Heavy,Good (>1km),Dawn,38,Highway,Dimly Lit,10,52.0,MEDIUM
Overcast,Potholes / Damaged,Moderate,Poor (100-500m),Dawn,28,Rural Single Lane,Dark / No Lights,15,68.6,MEDIUM
Rainy,Icy,Heavy,Poor (100-500m),Afternoon,76,Residential,Dark / No Lights,6,97,HIGH
Overcast,Wet,Heavy,Poor (100-500m),Late Night,43,Rural Single Lane,Daylight,31,84.9,HIGH
Clear,Dry,Heavy,Good (>1km),Morning Rush,46,Highway,Dark / No Lights,5,50.0,MEDIUM
Rainy,Icy,Low,Good (>1km),Afternoon,59,Residential,Dimly Lit,23,67.6,MEDIUM
Overcast,Wet,Congested,Good (>1km),Afternoon,107,Ghat / Mountain,Dark / No Lights,22,97,HIGH
Rainy,Wet,Heavy,Very Poor (<100m),Dawn,93,Residential,Daylight,7,97,HIGH
Overcast,Potholes / Damaged,Moderate,Good (>1km),Morning Rush,81,Rural Single Lane,Daylight,18,26.3,LOW
Foggy,Under Construction,Heavy,Poor (100-500m),Late Night,79,Residential,Daylight,2,90.3,HIGH
Overcast,Potholes / Damaged,Heavy,Good (>1km),Evening Rush,48,Rural Single Lane,Dark / No Lights,17,66.5,MEDIUM
Overcast,Potholes / Damaged,Congested,Moderate (500m-1km),Late Night,107,Urban Arterial,Well Lit Street,15,79.9,HIGH
Rainy,Under Construction,Heavy,Good (>1km),Late Night,82,Ghat / Mountain,Dark / No Lights,12,97,HIGH
Clear,Potholes / Damaged,Low,Poor (100-500m),Evening Rush,97,Residential,Dimly Lit,8,75.6,HIGH
Clear,Wet,Congested,Good (>1km),Late Night,67,Highway,Daylight,22,63.1,MEDIUM
Overcast,Wet,Heavy,Poor (100-500m),Afternoon,114,Rural Single Lane,Dark / No Lights,17,97,HIGH
Foggy,Potholes / Damaged,Low,Good (>1km),Morning Rush,100,Residential,Dark / No Lights,10,92.9,HIGH
Rainy,Potholes / Damaged,Low,Good (>1km),Late Night,91,Rural Single Lane,Well Lit Street,3,84.3,HIGH
Overcast,Icy,Low,Moderate (500m-1km),Afternoon,117,Rural Single Lane,Well Lit Street,5,72.9,HIGH
Rainy,Icy,Low,Moderate (500m-1km),Late Night,45,Urban Arterial,Well Lit Street,5,83.3,HIGH
Foggy,Potholes / Damaged,Moderate,Very Poor (<100m),Late Night,87,Urban Arterial,Dimly Lit,6,88.5,HIGH
Foggy,Wet,Moderate,Moderate (500m-1km),Morning Rush,96,Urban Arterial,Daylight,30,77.3,HIGH
Clear,Potholes / Damaged,Congested,Very Poor (<100m),Afternoon,33,Urban Arterial,Daylight,21,64.9,MEDIUM
Snow,Potholes / Damaged,Congested,Moderate (500m-1km),Dawn,114,Urban Arterial,Daylight,11,94.4,HIGH
Rainy,Under Construction,Moderate,Very Poor (<100m),Afternoon,53,Urban Arterial,Dimly Lit,8,57.2,MEDIUM
Snow,Under Construction,Low,Good (>1km),Dawn,105,Urban Arterial,Dark / No Lights,31,86.6,HIGH
Overcast,Potholes / Damaged,Congested,Good (>1km),Evening Rush,35,Residential,Dark / No Lights,33,65.7,MEDIUM
Clear,Dry,Congested,Moderate (500m-1km),Afternoon,53,Rural Single Lane,Well Lit Street,19,32.9,LOW
Clear,Wet,Low,Good (>1km),Dawn,59,Ghat / Mountain,Well Lit Street,3,47.6,MEDIUM
Foggy,Dry,Heavy,Poor (100-500m),Afternoon,106,Ghat / Mountain,Dark / No Lights,12,97,HIGH
Snow,Potholes / Damaged,Congested,Moderate (500m-1km),Late Night,47,Residential,Daylight,32,88.3,HIGH
Overcast,Wet,Congested,Moderate (500m-1km),Evening Rush,54,Residential,Well Lit Street,2,46.7,MEDIUM
Clear,Icy,Low,Moderate (500m-1km),Dawn,68,Highway,Dimly Lit,4,49.6,MEDIUM
Rainy,Icy,Moderate,Poor (100-500m),Morning Rush,45,Urban Arterial,Dark / No Lights,23,97,HIGH
Rainy,Icy,Congested,Moderate (500m-1km),Dawn,33,Highway,Dark / No Lights,8,97,HIGH
Snow,Dry,Moderate,Good (>1km),Late Night,111,Residential,Well Lit Street,16,75.5,HIGH
Snow,Under Construction,Heavy,Moderate (500m-1km),Evening Rush,62,Highway,Daylight,27,59.3,MEDIUM
Snow,Wet,Congested,Very Poor (<100m),Late Night,35,Urban Arterial,Daylight,32,97,HIGH
Snow,Potholes / Damaged,Moderate,Moderate (500m-1km),Morning Rush,101,Residential,Dimly Lit,30,80.2,HIGH
Rainy,Potholes / Damaged,Heavy,Good (>1km),Dawn,34,Ghat / Mountain,Well Lit Street,17,82.7,HIGH
Foggy,Dry,Low,Very Poor (<100m),Late Night,101,Highway,Well Lit Street,1,97,HIGH
Clear,Icy,Heavy,Good (>1km),Afternoon,120,Residential,Dark / No Lights,35,97,HIGH
Rainy,Potholes / Damaged,Moderate,Very Poor (<100m),Late Night,116,Rural Single Lane,Well Lit Street,8,97,HIGH
Clear,Wet,Low,Moderate (500m-1km),Late Night,96,Residential,Dark / No Lights,16,89.3,HIGH
Snow,Icy,Heavy,Moderate (500m-1km),Afternoon,111,Urban Arterial,Dark / No Lights,23,97,HIGH
Rainy,Wet,Heavy,Very Poor (<100m),Late Night,27,Residential,Dark / No Lights,9,97,HIGH
Clear,Icy,Congested,Moderate (500m-1km),Evening Rush,54,Rural Single Lane,Dimly Lit,17,64.6,MEDIUM
Clear,Potholes / Damaged,Moderate,Poor (100-500m),Afternoon,89,Highway,Daylight,20,50.2,MEDIUM
Snow,Dry,Low,Very Poor (<100m),Late Night,82,Rural Single Lane,Dimly Lit,23,77.5,HIGH
Foggy,Under Construction,Moderate,Moderate (500m-1km),Late Night,60,Residential,Daylight,21,51.2,MEDIUM
Overcast,Under Construction,Congested,Good (>1km),Dawn,96,Highway,Dark / No Lights,12,76.1,HIGH
Foggy,Potholes / Damaged,Heavy,Very Poor (<100m),Evening Rush,57,Urban Arterial,Dark / No Lights,3,97,HIGH
Foggy,Under Construction,Heavy,Very Poor (<100m),Late Night,68,Highway,Dimly Lit,21,92.4,HIGH
Snow,Under Construction,Low,Very Poor (<100m),Dawn,87,Ghat / Mountain,Well Lit Street,22,83.6,HIGH
Rainy,Icy,Low,Moderate (500m-1km),Dawn,111,Ghat / Mountain,Daylight,29,97,HIGH
Clear,Dry,Moderate,Very Poor (<100m),Late Night,77,Urban Arterial,Well Lit Street,8,52.4,MEDIUM
Clear,Icy,Heavy,Good (>1km),Late Night,52,Ghat / Mountain,Dark / No Lights,17,97,HIGH
Foggy,Icy,Moderate,Poor (100-500m),Dawn,44,Ghat / Mountain,Dimly Lit,22,97,HIGH
Snow,Wet,Moderate,Moderate (500m-1km),Afternoon,96,Ghat / Mountain,Well Lit Street,19,97,HIGH
Overcast,Wet,Low,Moderate (500m-1km),Afternoon,114,Highway,Daylight,8,58.3,MEDIUM
Snow,Icy,Congested,Moderate (500m-1km),Late Night,66,Residential,Well Lit Street,4,97,HIGH
Rainy,Wet,Moderate,Moderate (500m-1km),Afternoon,79,Highway,Daylight,2,51.6,MEDIUM
Rainy,Under Construction,Congested,Poor (100-500m),Afternoon,34,Highway,Well Lit Street,19,70.8,HIGH
Overcast,Icy,Moderate,Good (>1km),Dawn,41,Highway,Well Lit Street,6,52.3,MEDIUM
Clear,Dry,Congested,Good (>1km),Late Night,50,Ghat / Mountain,Well Lit Street,6,66.9,MEDIUM
Overcast,Under Construction,Congested,Poor (100-500m),Morning Rush,71,Rural Single Lane,Dimly Lit,31,55.6,MEDIUM
Snow,Wet,Congested,Very Poor (<100m),Dawn,60,Rural Single Lane,Daylight,33,97,HIGH
Overcast,Under Construction,Low,Moderate (500m-1km),Evening Rush,48,Ghat / Mountain,Daylight,2,34.2,LOW
Rainy,Wet,Low,Poor (100-500m),Afternoon,119,Ghat / Mountain,Well Lit Street,6,97,HIGH
Clear,Icy,Moderate,Poor (100-500m),Morning Rush,93,Rural Single Lane,Dark / No Lights,7,97,HIGH
Rainy,Icy,Heavy,Poor (100-500m),Late Night,55,Highway,Daylight,5,97,HIGH
Overcast,Under Construction,Congested,Good (>1km),Afternoon,53,Highway,Dark / No Lights,27,53.4,MEDIUM
Foggy,Icy,Congested,Good (>1km),Late Night,41,Urban Arterial,Dimly Lit,3,97,HIGH
Clear,Wet,Moderate,Very Poor (<100m),Morning Rush,114,Residential,Well Lit Street,20,78.5,HIGH
Overcast,Potholes / Damaged,Low,Moderate (500m-1km),Dawn,70,Highway,Daylight,18,28.8,LOW
Foggy,Dry,Heavy,Poor (100-500m),Late Night,104,Residential,Dark / No Lights,31,97,HIGH
Foggy,Potholes / Damaged,Heavy,Poor (100-500m),Dawn,87,Ghat / Mountain,Well Lit Street,29,97,HIGH
Clear,Wet,Low,Moderate (500m-1km),Late Night,81,Residential,Dark / No Lights,33,66.2,MEDIUM
Snow,Wet,Low,Moderate (500m-1km),Evening Rush,81,Residential,Well Lit Street,2,56.1,MEDIUM
Rainy,Potholes / Damaged,Low,Very Poor (<100m),Evening Rush,75,Ghat / Mountain,Daylight,11,85.3,HIGH
Clear,Dry,Congested,Good (>1km),Morning Rush,106,Highway,Dark / No Lights,23,75.4,HIGH
Clear,Icy,Heavy,Moderate (500m-1km),Morning Rush,36,Rural Single Lane,Dimly Lit,26,68.0,MEDIUM
Snow,Dry,Congested,Very Poor (<100m),Morning Rush,50,Residential,Daylight,24,75.6,HIGH
Snow,Under Construction,Moderate,Moderate (500m-1km),Evening Rush,81,Urban Arterial,Dimly Lit,28,41.0,LOW
Overcast,Under Construction,Congested,Good (>1km),Evening Rush,118,Urban Arterial,Dark / No Lights,5,75.0,HIGH
Clear,Icy,Moderate,Poor (100-500m),Evening Rush,107,Highway,Dark / No Lights,28,97,HIGH
Rainy,Under Construction,Low,Moderate (500m-1km),Evening Rush,105,Ghat / Mountain,Dark / No Lights,3,90.8,HIGH
Overcast,Icy,Heavy,Poor (100-500m),Morning Rush,87,Residential,Well Lit Street,35,89.9,HIGH
Rainy,Potholes / Damaged,Congested,Good (>1km),Morning Rush,40,Rural Single Lane,Dimly Lit,23,62.8,MEDIUM
Overcast,Wet,Moderate,Moderate (500m-1km),Dawn,30,Highway,Dark / No Lights,20,55.2,MEDIUM
Overcast,Icy,Low,Very Poor (<100m),Afternoon,33,Urban Arterial,Dark / No Lights,17,91.6,HIGH
Clear,Potholes / Damaged,Congested,Moderate (500m-1km),Late Night,32,Urban Arterial,Daylight,35,63.1,MEDIUM
Snow,Potholes / Damaged,Heavy,Good (>1km),Dawn,104,Highway,Well Lit Street,35,97,HIGH
Foggy,Icy,Congested,Moderate (500m-1km),Dawn,69,Urban Arterial,Dark / No Lights,34,97,HIGH
Rainy,Wet,Moderate,Poor (100-500m),Evening Rush,111,Residential,Dark / No Lights,17,97,HIGH
Rainy,Wet,Moderate,Very Poor (<100m),Late Night,107,Residential,Daylight,23,97,HIGH
Foggy,Under Construction,Heavy,Moderate (500m-1km),Evening Rush,73,Highway,Daylight,10,53.2,MEDIUM
Foggy,Dry,Congested,Very Poor (<100m),Morning Rush,53,Ghat / Mountain,Dark / No Lights,24,97,HIGH
Foggy,Dry,Heavy,Poor (100-500m),Morning Rush,42,Urban Arterial,Dimly Lit,6,75.1,HIGH
Clear,Potholes / Damaged,Moderate,Moderate (500m-1km),Afternoon,60,Highway,Daylight,2,28.0,LOW
Overcast,Under Construction,Moderate,Moderate (500m-1km),Late Night,37,Highway,Well Lit Street,12,27.0,LOW
Clear,Under Construction,Congested,Poor (100-500m),Dawn,52,Residential,Well Lit Street,9,49.6,MEDIUM
Foggy,Icy,Moderate,Very Poor (<100m),Afternoon,106,Highway,Daylight,22,97,HIGH
Overcast,Wet,Low,Good (>1km),Evening Rush,66,Urban Arterial,Well Lit Street,29,34.4,LOW
Foggy,Under Construction,Congested,Very Poor (<100m),Late Night,98,Ghat / Mountain,Well Lit Street,23,97,HIGH
Rainy,Icy,Low,Poor (100-500m),Morning Rush,104,Rural Single Lane,Well Lit Street,25,97,HIGH
Clear,Under Construction,Moderate,Poor (100-500m),Late Night,56,Urban Arterial,Dimly Lit,27,50.6,MEDIUM
Rainy,Icy,Moderate,Good (>1km),Afternoon,55,Highway,Dark / No Lights,3,87.3,HIGH
Snow,Potholes / Damaged,Heavy,Good (>1km),Dawn,98,Ghat / Mountain,Dark / No Lights,30,97,HIGH
Snow,Dry,Heavy,Good (>1km),Afternoon,105,Highway,Daylight,3,81.7,HIGH
Clear,Wet,Moderate,Very Poor (<100m),Morning Rush,51,Residential,Well Lit Street,23,58.9,MEDIUM
Overcast,Dry,Congested,Moderate (500m-1km),Late Night,97,Ghat / Mountain,Dimly Lit,24,85.9,HIGH
Clear,Dry,Congested,Very Poor (<100m),Evening Rush,53,Urban Arterial,Daylight,7,49.7,MEDIUM
Rainy,Potholes / Damaged,Heavy,Very Poor (<100m),Dawn,83,Ghat / Mountain,Dark / No Lights,5,97,HIGH
Rainy,Under Construction,Heavy,Moderate (500m-1km),Morning Rush,75,Residential,Dimly Lit,13,52.9,MEDIUM
Snow,Wet,Low,Very Poor (<100m),Afternoon,87,Ghat / Mountain,Dimly Lit,17,97,HIGH
Foggy,Wet,Congested,Moderate (500m-1km),Afternoon,28,Ghat / Mountain,Well Lit Street,26,90.0,HIGH
Snow,Icy,Congested,Poor (100-500m),Evening Rush,66,Urban Arterial,Well Lit Street,24,97,HIGH
Snow,Under Construction,Heavy,Poor (100-500m),Dawn,48,Highway,Well Lit Street,23,76.0,HIGH
Rainy,Potholes / Damaged,Congested,Moderate (500m-1km),Morning Rush,28,Urban Arterial,Daylight,2,62.3,MEDIUM
Rainy,Dry,Moderate,Good (>1km),Morning Rush,65,Residential,Daylight,14,29.6,LOW
Rainy,Wet,Heavy,Good (>1km),Afternoon,115,Urban Arterial,Well Lit Street,24,91.9,HIGH
Foggy,Wet,Congested,Good (>1km),Dawn,61,Rural Single Lane,Well Lit Street,10,75.7,HIGH
Overcast,Under Construction,Low,Good (>1km),Evening Rush,25,Residential,Dimly Lit,16,18.2,LOW
Foggy,Under Construction,Moderate,Moderate (500m-1km),Morning Rush,41,Rural Single Lane,Well Lit Street,7,35.7,LOW
Rainy,Wet,Low,Very Poor (<100m),Late Night,91,Highway,Dark / No Lights,1,97,HIGH
Foggy,Dry,Heavy,Moderate (500m-1km),Morning Rush,74,Highway,Dark / No Lights,20,71.5,HIGH
Snow,Under Construction,Moderate,Good (>1km),Dawn,53,Highway,Well Lit Street,30,44.2,MEDIUM
Overcast,Icy,Congested,Poor (100-500m),Afternoon,36,Urban Arterial,Daylight,7,84.6,HIGH
Rainy,Dry,Moderate,Very Poor (<100m),Afternoon,72,Urban Arterial,Well Lit Street,17,55.7,MEDIUM
Clear,Icy,Heavy,Very Poor (<100m),Afternoon,95,Residential,Dark / No Lights,26,97,HIGH
Overcast,Potholes / Damaged,Moderate,Moderate (500m-1km),Morning Rush,26,Ghat / Mountain,Dimly Lit,29,45.1,MEDIUM
Rainy,Dry,Low,Very Poor (<100m),Morning Rush,107,Highway,Well Lit Street,16,80.1,HIGH
Rainy,Potholes / Damaged,Moderate,Very Poor (<100m),Late Night,32,Ghat / Mountain,Well Lit Street,21,97,HIGH
Clear,Wet,Heavy,Good (>1km),Morning Rush,103,Ghat / Mountain,Dark / No Lights,28,97,HIGH
Overcast,Icy,Heavy,Very Poor (<100m),Morning Rush,112,Highway,Well Lit Street,13,97,HIGH
Rainy,Wet,Heavy,Moderate (500m-1km),Late Night,66,Ghat / Mountain,Dimly Lit,5,97,HIGH
Rainy,Wet,Moderate,Very Poor (<100m),Dawn,57,Rural Single Lane,Daylight,17,71.6,HIGH
Rainy,Dry,Moderate,Very Poor (<100m),Morning Rush,89,Urban Arterial,Dark / No Lights,32,71.4,HIGH
Snow,Under Construction,Low,Very Poor (<100m),Evening Rush,48,Ghat / Mountain,Dimly Lit,31,83.9,HIGH
Clear,Potholes / Damaged,Heavy,Good (>1km),Late Night,80,Ghat / Mountain,Dark / No Lights,30,97,HIGH
Clear,Icy,Moderate,Very Poor (<100m),Afternoon,83,Highway,Daylight,1,73.2,HIGH
Clear,Dry,Heavy,Very Poor (<100m),Dawn,107,Highway,Dark / No Lights,4,94.2,HIGH
Rainy,Icy,Heavy,Very Poor (<100m),Evening Rush,61,Highway,Daylight,9,97,HIGH
Snow,Under Construction,Moderate,Moderate (500m-1km),Dawn,56,Rural Single Lane,Daylight,1,40.1,LOW
Snow,Dry,Low,Moderate (500m-1km),Afternoon,36,Rural Single Lane,Daylight,23,37.6,LOW
Overcast,Dry,Congested,Moderate (500m-1km),Late Night,32,Residential,Dark / No Lights,30,65.2,MEDIUM
Snow,Icy,Moderate,Very Poor (<100m),Evening Rush,118,Urban Arterial,Dark / No Lights,27,97,HIGH
Snow,Icy,Congested,Very Poor (<100m),Evening Rush,117,Residential,Daylight,21,97,HIGH
Snow,Wet,Heavy,Very Poor (<100m),Afternoon,87,Highway,Well Lit Street,26,93.3,HIGH
Foggy,Icy,Heavy,Good (>1km),Afternoon,116,Ghat / Mountain,Dark / No Lights,31,97,HIGH
Clear,Under Construction,Heavy,Moderate (500m-1km),Late Night,119,Highway,Well Lit Street,28,67.4,MEDIUM
Rainy,Potholes / Damaged,Low,Good (>1km),Late Night,35,Highway,Daylight,21,63.1,MEDIUM
Snow,Dry,Heavy,Good (>1km),Afternoon,51,Urban Arterial,Dark / No Lights,2,75.7,HIGH
Clear,Potholes / Damaged,Heavy,Very Poor (<100m),Dawn,29,Highway,Dimly Lit,21,66.3,MEDIUM
Rainy,Potholes / Damaged,Low,Poor (100-500m),Afternoon,75,Residential,Well Lit Street,28,72.3,HIGH
Clear,Dry,Heavy,Poor (100-500m),Late Night,58,Urban Arterial,Daylight,29,68.0,MEDIUM
Clear,Dry,Low,Good (>1km),Morning Rush,49,Urban Arterial,Well Lit Street,22,13.6,LOW
Rainy,Icy,Congested,Poor (100-500m),Evening Rush,53,Residential,Dimly Lit,11,97,HIGH
Rainy,Dry,Congested,Poor (100-500m),Afternoon,35,Highway,Dark / No Lights,2,88.0,HIGH
Overcast,Dry,Heavy,Moderate (500m-1km),Dawn,83,Urban Arterial,Dark / No Lights,26,50.5,MEDIUM
Overcast,Dry,Low,Poor (100-500m),Evening Rush,80,Urban Arterial,Dark / No Lights,21,59.5,MEDIUM
Clear,Dry,Heavy,Good (>1km),Afternoon,35,Highway,Well Lit Street,23,34.6,LOW
Rainy,Dry,Low,Poor (100-500m),Dawn,68,Residential,Dimly Lit,10,53.6,MEDIUM
Rainy,Wet,Moderate,Very Poor (<100m),Late Night,53,Ghat / Mountain,Daylight,23,97,HIGH
Rainy,Wet,Congested,Good (>1km),Morning Rush,102,Urban Arterial,Dimly Lit,13,90.3,HIGH
Snow,Potholes / Damaged,Heavy,Poor (100-500m),Evening Rush,103,Urban Arterial,Dimly Lit,22,97,HIGH
Clear,Under Construction,Congested,Very Poor (<100m),Morning Rush,55,Highway,Dark / No Lights,4,75.3,HIGH
Rainy,Under Construction,Low,Good (>1km),Evening Rush,106,Residential,Dark / No Lights,12,75.6,HIGH
Overcast,Under Construction,Congested,Good (>1km),Morning Rush,68,Urban Arterial,Daylight,23,29.0,LOW
Clear,Potholes / Damaged,Moderate,Poor (100-500m),Afternoon,52,Rural Single Lane,Daylight,5,50.3,MEDIUM
Snow,Dry,Congested,Moderate (500m-1km),Late Night,113,Rural Single Lane,Daylight,11,91.5,HIGH
Rainy,Icy,Moderate,Very Poor (<100m),Morning Rush,70,Rural Single Lane,Well Lit Street,34,85.3,HIGH
Clear,Potholes / Damaged,Heavy,Poor (100-500m),Late Night,115,Urban Arterial,Well Lit Street,20,97,HIGH
Foggy,Icy,Congested,Good (>1km),Morning Rush,28,Highway,Well Lit Street,3,86.4,HIGH
Snow,Under Construction,Congested,Good (>1km),Afternoon,97,Urban Arterial,Dark / No Lights,18,97,HIGH
Overcast,Potholes / Damaged,Moderate,Poor (100-500m),Dawn,55,Residential,Dimly Lit,15,52.0,MEDIUM
Snow,Dry,Congested,Good (>1km),Evening Rush,97,Residential,Dark / No Lights,10,96.3,HIGH
Foggy,Potholes / Damaged,Congested,Poor (100-500m),Dawn,73,Rural Single Lane,Daylight,20,91.0,HIGH
Clear,Icy,Low,Moderate (500m-1km),Dawn,29,Urban Arterial,Well Lit Street,17,47.4,MEDIUM
Rainy,Dry,Moderate,Very Poor (<100m),Evening Rush,103,Rural Single Lane,Dimly Lit,20,77.7,HIGH
Foggy,Icy,Congested,Moderate (500m-1km),Dawn,44,Ghat / Mountain,Dark / No Lights,15,97,HIGH
Clear,Potholes / Damaged,Heavy,Very Poor (<100m),Morning Rush,112,Ghat / Mountain,Dark / No Lights,4,97,HIGH
Overcast,Potholes / Damaged,Low,Moderate (500m-1km),Morning Rush,105,Residential,Daylight,23,52.2,MEDIUM
Foggy,Icy,Heavy,Good (>1km),Afternoon,110,Ghat / Mountain,Dimly Lit,17,97,HIGH
Rainy,Dry,Low,Very Poor (<100m),Dawn,88,Highway,Dark / No Lights,13,77.4,HIGH
Overcast,Icy,Congested,Very Poor (<100m),Evening Rush,37,Rural Single Lane,Dark / No Lights,19,97,HIGH
Clear,Under Construction,Low,Moderate (500m-1km),Morning Rush,61,Ghat / Mountain,Dimly Lit,23,33.0,LOW
Snow,Wet,Heavy,Good (>1km),Late Night,57,Residential,Dark / No Lights,32,97,HIGH
Foggy,Dry,Moderate,Poor (100-500m),Dawn,109,Rural Single Lane,Daylight,4,80.1,HIGH
Rainy,Wet,Low,Moderate (500m-1km),Afternoon,78,Highway,Dark / No Lights,16,73.9,HIGH
Overcast,Wet,Heavy,Good (>1km),Evening Rush,38,Rural Single Lane,Dimly Lit,16,52.3,MEDIUM
Foggy,Icy,Moderate,Poor (100-500m),Morning Rush,83,Rural Single Lane,Dimly Lit,27,91.8,HIGH
Foggy,Wet,Congested,Good (>1km),Dawn,109,Highway,Daylight,8,92.8,HIGH
Snow,Potholes / Damaged,Low,Poor (100-500m),Evening Rush,75,Highway,Daylight,21,76.1,HIGH
Clear,Dry,Congested,Good (>1km),Morning Rush,49,Ghat / Mountain,Dark / No Lights,8,72.2,HIGH
Rainy,Potholes / Damaged,Moderate,Poor (100-500m),Evening Rush,78,Urban Arterial,Dark / No Lights,22,86.4,HIGH
Foggy,Wet,Heavy,Good (>1km),Afternoon,44,Ghat / Mountain,Dimly Lit,26,88.2,HIGH
Overcast,Wet,Low,Moderate (500m-1km),Afternoon,59,Urban Arterial,Well Lit Street,6,31.0,LOW
Snow,Under Construction,Heavy,Good (>1km),Morning Rush,79,Rural Single Lane,Dark / No Lights,20,73.7,HIGH
Snow,Icy,Heavy,Very Poor (<100m),Afternoon,119,Ghat / Mountain,Dark / No Lights,17,97,HIGH
Clear,Dry,Congested,Poor (100-500m),Morning Rush,70,Ghat / Mountain,Daylight,9,70.4,HIGH
Snow,Wet,Congested,Moderate (500m-1km),Dawn,103,Ghat / Mountain,Dark / No Lights,12,97,HIGH
Overcast,Dry,Heavy,Good (>1km),Late Night,28,Urban Arterial,Daylight,35,47.4,MEDIUM
Snow,Dry,Heavy,Moderate (500m-1km),Morning Rush,81,Residential,Dimly Lit,13,58.1,MEDIUM
Snow,Icy,Congested,Moderate (500m-1km),Late Night,82,Ghat / Mountain,Dimly Lit,2,97,HIGH
Snow,Under Construction,Congested,Good (>1km),Afternoon,115,Highway,Well Lit Street,35,78.6,HIGH
Rainy,Under Construction,Heavy,Good (>1km),Dawn,114,Ghat / Mountain,Well Lit Street,12,87.0,HIGH
Snow,Icy,Congested,Poor (100-500m),Evening Rush,39,Ghat / Mountain,Well Lit Street,24,97,HIGH
Overcast,Potholes / Damaged,Low,Moderate (500m-1km),Late Night,32,Rural Single Lane,Well Lit Street,26,45.1,MEDIUM
Clear,Under Construction,Heavy,Moderate (500m-1km),Dawn,81,Ghat / Mountain,Well Lit Street,34,53.0,MEDIUM
Foggy,Potholes / Damaged,Heavy,Poor (100-500m),Dawn,47,Highway,Daylight,16,93.5,HIGH
Clear,Icy,Heavy,Good (>1km),Afternoon,116,Highway,Dimly Lit,1,83.3,HIGH
Overcast,Under Construction,Moderate,Good (>1km),Morning Rush,35,Ghat / Mountain,Dimly Lit,29,37.0,LOW
Foggy,Wet,Congested,Poor (100-500m),Dawn,96,Ghat / Mountain,Daylight,14,97,HIGH
Rainy,Under Construction,Moderate,Very Poor (<100m),Evening Rush,108,Urban Arterial,Well Lit Street,32,76.6,HIGH
Snow,Dry,Moderate,Very Poor (<100m),Dawn,71,Urban Arterial,Dark / No Lights,15,84.7,HIGH
Clear,Icy,Congested,Very Poor (<100m),Evening Rush,77,Ghat / Mountain,Well Lit Street,24,97,HIGH
Rainy,Under Construction,Low,Poor (100-500m),Dawn,72,Highway,Daylight,3,58.3,MEDIUM
Snow,Dry,Low,Moderate (500m-1km),Evening Rush,66,Residential,Daylight,2,44.1,MEDIUM
Rainy,Wet,Heavy,Poor (100-500m),Late Night,56,Ghat / Mountain,Dimly Lit,15,97,HIGH
Overcast,Icy,Heavy,Good (>1km),Dawn,96,Rural Single Lane,Dimly Lit,24,89.1,HIGH
Foggy,Dry,Heavy,Moderate (500m-1km),Afternoon,105,Residential,Dark / No Lights,24,97,HIGH
Snow,Wet,Congested,Very Poor (<100m),Morning Rush,87,Residential,Dark / No Lights,15,97,HIGH
Foggy,Icy,Heavy,Good (>1km),Afternoon,44,Highway,Well Lit Street,19,87.3,HIGH
